1016576_17_RRU2219B5BQJHZKS5088_HW0~9,9,'1016576','1016576_17_RRU2219B5BQJHZKS5088_HW0',96.30251935,0.752467643,50801.675,316650.1415,10.63934558,132,0,0,10080,100,28389,2990.520052,7748.693279,193.4538573,6966850127,20265609056,2.908862497
1016576_18_RRU2219B5BQJHZKS5088_HW0~9,9,'1016576','1016576_18_RRU2219B5BQJHZKS5088_HW0',93.09068939,0.625090636,43652.4565,315838.9538,6.160863248,67,0,0,10080,100,11881,205.2066056,3953.564074,197.9863875,3554649459,20213693040,5.686550325
1016576_19_RRU2219B5BQJHZKS5088_HW0~9,9,'1016576','1016576_19_RRU2219B5BQJHZKS5088_HW0',99.40625211,0.272413692,71179.5835,480349.3323,8.495394321,148,0,0,10080,100,53813,638.2973711,11170.41783,198.8573218,10043322675,30742357264,3.060974765
1016577_17_RRU2219B5BQJHZKS5089_HW0~9,9,'1016577','1016577_17_RRU2219B5BQJHZKS5089_HW0',99.58923821,0.407063767,75307.60625,452613.167,10.13241998,60,0,0,10080,100,4097,1881.720517,2778.029713,159.5863431,2497726515,28967242688,11.59744372
1016577_18_RRU2219B5BQJHZKS5089_HW0~9,9,'1016577','1016577_18_RRU2219B5BQJHZKS5089_HW0',99.21902363,0.497316191,25913.69538,315652.9789,21.12017989,70,0,0,10080,100,22035,3713.076792,3091.486937,146.2918889,2779555905,20201790648,7.267992205
1016577_19_RRU2219B5BQJHZKS5089_HW0~9,9,'1016577','1016577_19_RRU2219B5BQJHZKS5089_HW0',99.86299642,0.107560996,17855.29525,226476.3399,8.632186112,24,0,0,10080,100,360,466.0972667,363.3799911,72.93374872,326714950,14494485752,44.36431743
1016578_17_RRU2219B5BQJHZDJ5090_HW0~9,9,'1016578','1016578_17_RRU2219B5BQJHZDJ5090_HW0',93.97053275,1.638674066,25638.292,332222.2733,33.57128485,104,0,0,10080,100,30772,5199.579263,2759.74974,116.9612899,2481290991,21262225488,8.569017323
1016578_18_RRU2219B5BQJHZDJ5090_HW0~9,9,'1016578','1016578_18_RRU2219B5BQJHZDJ5090_HW0',99.46774273,0.286152923,64653.227,618980.9105,14.69418924,110,0,0,10080,100,12255,3093.559701,4191.897164,178.9899243,3768934741,39614778272,10.51086872
1016578_19_RRU2219B5BQJHZDJ5090_HW0~9,9,'1016578','1016578_19_RRU2219B5BQJHZDJ5090_HW0',99.20529692,0.24511501,23427.07838,112769.8651,3.596596907,16,0,0,10080,100,509,169.3442611,211.8868744,48.06942283,190507488.8,7217271368,37.88444965
1016579_17_RRU2219B5BQJHZDH5091_HW0~9,9,'1016579','1016579_17_RRU2219B5BQJHZDH5091_HW0',99.20004379,0.416953864,40153.96238,379405.9715,8.29251991,42,0,0,10080,100,2321,527.4162822,1535.251686,149.8313511,1380344790,24281982176,17.59124412
1016579_18_RRU2219B5BQJHZDH5091_HW0~9,9,'1016579','1016579_18_RRU2219B5BQJHZDH5091_HW0',99.3729206,0.284829957,3297.577875,60006.02263,4.012135288,13,0,0,10080,100,1400,102.5717544,204.2333822,51.19214521,183626234,3840385448,20.91414372
1016579_19_RRU2219B5BQJHZDH5091_HW0~9,9,'1016579','1016579_19_RRU2219B5BQJHZDH5091_HW0',98.97556896,0.240955458,25607.07838,251483.6851,9.938584574,39,0,0,10080,100,2626,835.0728333,807.4043511,112.2667225,725937252.1,16094955848,22.17127693
1016581_17_RRU2219B5BQJHZDB5093_HW0~9,9,'1016581','1016581_17_RRU2219B5BQJHZDB5093_HW0',99.34013963,0.131043764,21830.95688,244531.9754,3.948683089,36,0,0,10080,100,1167,568.0020922,761.67901,97.49825361,684825597.9,15650046424,22.85260141
1016581_18_RRU2219B5BQJHZDB5093_HW0~9,9,'1016581','1016581_18_RRU2219B5BQJHZDB5093_HW0',99.70407476,0.124133852,56405.31513,556574.7939,4.916025276,75,0,0,10080,100,1074,1416.264583,3702.687991,178.5098657,3329086773,35620786808,10.69986733
1016581_19_RRU2219B5BQJHZDB5093_HW0~9,9,'1016581','1016581_19_RRU2219B5BQJHZDB5093_HW0',98.80250332,0.176548051,6662.033125,67098.96663,16.08130048,18,0,0,10080,100,1424,293.7918267,201.2569278,49.54217168,180950103.8,4294333864,23.73214369
1016583_17_RRU2219B5BQJHZYC5095_HW0~9,9,'1016583','1016583_17_RRU2219B5BQJHZYC5095_HW0',99.66961013,0.270742122,35810.77513,445203.9486,4.307658455,55,19568,0,10080,97.97784392,2129,794.14543,1660.65573,139.1155006,1493095567,28493052712,19.08320763
1016583_18_RRU2219B5BQJHZYC5095_HW0~9,9,'1016583','1016583_18_RRU2219B5BQJHZYC5095_HW0',97.79184267,0.735559056,41779.60988,401415.8176,18.55574384,146,19568,0,10080,97.97784392,14821,4481.285671,4187.420513,156.4449414,3764909784,25690612328,6.82369932
1016583_19_RRU2219B5BQJHZYC5095_HW0~9,9,'1016583','1016583_19_RRU2219B5BQJHZYC5095_HW0',99.29636765,0.224367336,10598.001,113989.2936,10.85843768,24,19568,0,10080,97.97784392,3481,478.17548,372.9741922,73.3361708,335341096.2,7295314792,21.75490828
1016584_17_RRU2219B5BQJHZYC5096_HW0~9,9,'1016584','1016584_17_RRU2219B5BQJHZYC5096_HW0',98.60772825,1.096789068,22814.59138,194164.768,7.023404417,55,0,0,10080,100,27173,1298.537971,2671.747436,170.4504378,2402168119,12426545152,5.173053897
1016584_18_RRU2219B5BQJHZYC5096_HW0~9,9,'1016584','1016584_18_RRU2219B5BQJHZYC5096_HW0',99.61284014,0.291615684,50944.46138,432200.5579,4.995060022,87,0,0,10080,100,11596,1244.396543,4162.134299,198.5108825,3742174948,27660835704,7.39164686
